8	-15.6	-257
8.1	-15.3	-260
8.2	-15.1	-263
8.2	-15	-266
8.5	-15	-269
8.7	-15.4	-272
8.8	-14.7	-274
8.8	-15	-277
8.7	-15	-280
8.8	-15.2	-283
9	-15.1	-286
8.5	-15.4	-289
8.5	-15.1	-291
9.8	-14.7	-294
8	-15	-297
8.6	-15.1	-300
8	-15.5	-303
8.2	-15.2	-305
7.6	-15.2	-308
7.4	-16	-311
8.1	-15.8	-314
8.3	-15.7	-317
8.8	-14.8	-320
8.6	-14.7	-322
8.8	-14.4	-325
9.2	-15.1	-328
9	-14.7	-331
8.4	-15.2	-334
8.9	-15.9	-337
8.4	-16.2	-339
8.9	-15.9	-342
8.8	-15.8	-345
8.8	-15.4	-348
8.6	-15.4	-351
9.1	-15.6	-354
9.1	-15.5	-356
8.5	-16.2	-359
8.6	-16.1	-362
8.6	-15.6	-365
7.7	-15.7	-368
8.6	-15.7	-371
8.6	-16.2	-373
8.7	-15.4	-376
8.9	-16.1	-379
8.6	-16	-382
8.8	-16	-385
9	-16.1	-388
9.6	-15.3	-390
9.6	-16.2	-393
9.6	-15.4	-396
9.4	-16.1	-399
8.6	-16.4	-402
9.2	-16	-405
8.4	-15.6	-407
8	-16.1	-410
8.5	-15.8	-413
8.4	-15.5	-416
8.4	-15.8	-419
8.8	-16	-422
8.5	-16	-424
8.8	-15.9	-427
8.4	-15.8	-430
9.2	-15.3	-433
9	-15.9	-436
8.1	-16	-439
8.3	-15.9	-441
9.1	-15.6	-444
8.7	-15.4	-447
8	-16.3	-450
8.1	-15.9	-453
8.4	-15.6	-456
9.3	-15.6	-458
8.2	-16.1	-461
8.1	-15.2	-464
9	-15.2	-467
8.2	-15.5	-470
8.6	-15.7	-473
8.8	-14.9	-475
8.5	-15.5	-478
7.9	-15.8	-481
8.2	-15.4	-484
8.4	-16.3	-487
8.6	-15.5	-490
8.6	-15.6	-492
7.9	-15.9	-495
7.8	-16.6	-498
7.8	-16.3	-501
7.7	-16.2	-504
8.3	-16.2	-507
8.1	-15.1	-509
8.7	-15.3	-512
8.2	-15.6	-515
8.1	-16	-518
8.7	-15.4	-521
9.7	-15.3	-524
7.9	-15.5	-526
8	-15.8	-529
8.1	-15.3	-532
8.3	-15.3	-535
7.8	-15.2	-538
8.4	-15.3	-541
8.3	-15.2	-543
8.4	-15.3	-546
8	-15.9	-549
8.2	-15.7	-552
8.2	-15.7	-555
8	-15.6	-558
8.3	-15	-560
9.6	-15.3	-563
8.4	-15.7	-566
7.9	-16	-569
8.5	-15.1	-572
7.9	-15.9	-575
8.7	-15.1	-577
8.2	-15.5	-580
8.2	-15.5	-583
8	-15.7	-586
7.7	-15.2	-589
7.8	-14.9	-592
8.5	-15.7	-594
9	-15.5	-597
7.9	-15.9	-600
7.5	-15.6	-603
7.1	-15.7	-606
7.9	-15.4	-609
7.9	-15.2	-611
8	-15.7	-614
7.5	-15.9	-617
8.2	-15.2	-620
7.9	-15	-623
8.1	-15.3	-625
7.3	-15.5	-628
6.5	-15.6	-631
7.9	-14.6	-634
7.9	-15.1	-637
8.8	-15.4	-640
9.9	-14.9	-642
8.9	-14.7	-645
8	-15.1	-648
8.5	-15	-651
8.1	-15.1	-654
8	-15.1	-657
7.8	-15.6	-659
7.5	-15.4	-662
8.2	-15.4	-665
8.6	-15.1	-668
7.6	-15.3	-671
8.2	-15.2	-674
7.7	-15.3	-676
7.3	-15.4	-679
7.6	-15.6	-682
8	-15.4	-685
7.4	-16.5	-688
7.7	-15.7	-691
7.8	-16	-693
8.1	-16	-696
7.5	-15.9	-699
8.2	-15.9	-702
7.8	-15.5	-705
8.3	-15.7	-708
7.7	-15.5	-710
7.7	-16.3	-713
8.2	-15.9	-716
7.5	-16.5	-719
8.2	-15.5	-722
8.1	-15.6	-725
8.1	-15.4	-727
8.4	-15.4	-730
7.7	-15.3	-733
8.2	-15.1	-736
8.3	-15.6	-739
8	-15.5	-742
7.9	-15.6	-744
8.1	-15.1	-747
7.6	-15.9	-750
7.7	-16.1	-753
7.2	-16.1	-756
7.8	-15.6	-759
7.5	-15.9	-761
7.2	-16.3	-764
7.8	-15.5	-767
7.8	-15.4	-770
7.7	-15.1	-773
7.5	-15.7	-776
7.6	-16.3	-778
7.2	-15.5	-781
8.4	-16	-784
7.5	-16.6	-787
8	-16.1	-790
8.1	-15.6	-793
8	-15.1	-795
7.7	-15.4	-798
7.4	-15.6	-801
7.8	-15.8	-804
8.3	-15.2	-807
7.1	-15.3	-810
7.1	-15.2	-812
6.9	-16	-815
7.6	-15.3	-818
7	-16.1	-821
7.4	-15.7	-824
7.7	-15.7	-827
7.8	-16	-829
8.8	-14.4	-832
8.1	-15.4	-835
8.4	-15.1	-838
8.2	-15	-841
9	-14.6	-844
8.9	-15.2	-846
7.9	-15.6	-849
7.5	-15.3	-852
8.2	-17.1	-855
7.9	-16.8	-858
8	-17.2	-861
8.2	-17.1	-863
7.5	-16.1	-866
7.5	-17.7	-869
7.3	-16.9	-872
7.2	-17.7	-875
7.3	-17.3	-878
